,Timestamp,Product Name,Seller,Price
114,2024-12-26 15:55:37,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
115,2024-12-26 15:55:44,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
116,2024-12-26 16:25:50,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
117,2024-12-26 16:25:56,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
118,2024-12-26 16:26:03,Non trouvé,E.Leclerc,969.0
119,2024-12-26 16:26:09,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
120,2024-12-26 16:26:16,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
121,2024-12-26 16:26:22,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
122,2024-12-26 16:26:29,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
123,2024-12-26 16:26:43,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
124,2024-12-26 16:26:49,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
125,2024-12-26 16:26:56,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
126,2024-12-26 16:27:02,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
127,2024-12-26 16:57:09,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
128,2024-12-26 16:57:15,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
129,2024-12-26 16:57:16,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",Maxmovil,1185.14
130,2024-12-26 16:57:22,Non trouvé,E.Leclerc,969.0
131,2024-12-26 16:57:28,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
132,2024-12-26 16:57:29,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Monsieurplus,1653.99
133,2024-12-26 16:57:35,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
134,2024-12-26 16:57:41,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
135,2024-12-26 16:57:42,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",Monsieurplus,1273.99
136,2024-12-26 16:57:48,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
137,2024-12-26 16:58:00,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
138,2024-12-26 16:58:01,Smartphone Apple iPhone 15 256GB noir,ZOOMICI,1439.92
139,2024-12-26 16:58:07,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
140,2024-12-26 16:58:14,"Apple iPhone 14 15,5 cm (6.1"") Double SIM iOS 17 5G 512 Go Noir",E.Leclerc,1266.17
141,2024-12-26 16:58:20,Smartphone Apple iPhone 14 256Go Noir Midnight,E.Leclerc,837.96
142,2024-12-26 17:28:27,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",E.Leclerc,1349.0
143,2024-12-26 17:28:33,"Apple iPhone 16 15,5 cm (6.1"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1098.0
144,2024-12-26 17:28:40,Non trouvé,E.Leclerc,969.0
145,2024-12-26 17:28:46,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 512 Go Noir",Stock e-commerce,1582.6
146,2024-12-26 17:28:52,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 256 Go Noir",E.Leclerc,1240.0
147,2024-12-26 17:29:00,"Apple iPhone 16 Plus 17 cm (6.7"") Double SIM iOS 18 5G USB Type-C 128 Go Noir",E.Leclerc,1119.0
148,2024-12-26 17:29:07,"Apple iPhone 16 Pro 16 cm (6.3"") Double SIM iOS 18 5G USB Type-C 1 To Noir",E.Leclerc,1859.0
149,2024-12-26 17:29:19,Smartphone Apple iPhone 15 256GB noir,E.Leclerc,999.0
150,2024-12-26 17:29:20,Smartphone Apple iPhone 15 256GB noir,Stock e-commerce,1029.23
151,2024-12-26 17:29:26,Smartphone Apple iPhone 15 128GB noir,E.Leclerc,869.0
